"FECHA_SINTOMAS","n"
"2022-06-21","27785"
"2022-06-22","27369"
"2022-06-23","25343"
"2022-06-24","26602"
"2022-06-25","28901"
"2022-06-26","34713"
"2022-06-27","42736"
"2022-06-28","39105"
"2022-06-29","34283"
"2022-06-30","32544"
"2022-07-01","39251"
"2022-07-02","33847"
"2022-07-03","39940"
"2022-07-04","52086"
"2022-07-05","48375"
"2022-07-06","41982"
"2022-07-07","39427"
"2022-07-08","37220"
"2022-07-09","38030"
"2022-07-10","48437"
"2022-07-11","53703"
"2022-07-12","44987"
"2022-07-13","40815"
"2022-07-14","34071"
"2022-07-15","34907"
"2022-07-16","30964"
"2022-07-17","36297"
"2022-07-18","46192"
"2022-07-19","38834"
"2022-07-20","34985"
"2022-07-21","25737"
"2022-07-22","24307"
"2022-07-23","23346"
"2022-07-24","25545"
"2022-07-25","32455"
"2022-07-26","24309"
"2022-07-27","21543"
"2022-07-28","17587"
"2022-07-29","15852"
"2022-07-30","14732"
"2022-07-31","16917"
"2022-08-01","24538"
"2022-08-02","17154"
"2022-08-03","14884"
"2022-08-04","12329"
"2022-08-05","12068"
"2022-08-06","11185"
"2022-08-07","12251"
"2022-08-08","14741"
"2022-08-09","10694"
"2022-08-10","8254"
"2022-08-11","4789"
"2022-08-12","2211"
"2022-08-13","262"
"2022-08-14","3"
